finding_id,workflow,outcome,estimate,unit,evidence_grade,source_id,population,geography,period,causal_status,uk_accounting_sme_transfer,main_limitation
ACC-B001,transaction processing and close,reporting timeliness,"-7.5 to -7.9",days,B,ACC-BS001,79 private SME clients using a partner accounting platform,United States,2023-01 to 2025-03,robust longitudinal association,promising transfer hypothesis not a UK benchmark,"non-random partner-platform sample; proxy based on recording timing"
ACC-B002,transaction processing and close,ledger granularity,12,percent increase in main specification,B,ACC-BS001,79 private SME clients using a partner accounting platform,United States,2023-01 to 2025-03,association less robust in alternative designs,uncertain transfer,"alternative estimates smaller and not always statistically significant; proxy outcome"
ACC-B003,accounting task allocation,routine data-entry attention,"approximately -9",percentage points or share reported by source,B,ACC-BS001,professional accountants and partner-platform workflow data,United States,2023-01 to 2025-03,association,promising transfer hypothesis,"task allocation measurement and sample are platform-specific"
ACC-B004,client support,weekly client capacity,"positive; magnitude varies by specification",association,B,ACC-BS001,accountants using the partner workflow,United States,2023-01 to 2025-03,not a standalone causal effect,promising but unquantified,"time trend and adoption intensity may capture learning and selection"
ACC-B005,transaction classification,classification accuracy,"improved on average",direction,A,ACC-BS001,framed field experiment with professional accountants,United States,2025,narrow experimental effect,task-level transfer only,"not an end-to-end practice outcome"
ACC-B006,transaction classification,error risk,"increased for non-consensus AI recommendations",direction,A,ACC-BS001,framed field experiment with professional accountants,United States,2025,narrow experimental effect,task-level warning,"experimental task does not measure downstream financial impact"
ACC-B007,all AI use,reported workforce productivity,75,percent of AI users reporting impact,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported descriptive context,broad context only,"not accounting-specific; at least 5 employees; no causal identification"
ACC-B008,all AI use,reported new or improved processes,57,percent of AI users reporting impact,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported descriptive context,broad context only,"not accounting-specific; multiple responses; no causal identification"
ACC-B009,all AI use,reported no impact,10,percent of AI users,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported descriptive context,broad context only,"not accounting-specific; no causal identification"
ACC-B010,all AI use,reported increase in employee productivity,56,percent of AI users,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported change,broad context only,"respondent estimate rather than measured output"
ACC-B011,all AI use,reported no revenue change,77,percent of AI users,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported change,broad context only,"timing and attribution vary; not accounting-specific"
ACC-B012,all AI use,reported revenue increase,12,percent of AI users,C,ACC-BS002,700 UK businesses using AI,United Kingdom,2025,self-reported change,broad context only,"small subgroup; not accounting-specific or causal"
ACC-B013,AI oversight,at least some human input or checking,84,percent of AI users,C,ACC-BS002,UK businesses using AI,United Kingdom,2025,self-reported control practice,broad control context,"does not measure review quality or effectiveness"
ACC-B014,AI oversight,significant human input or checking,67,percent of AI users,C,ACC-BS002,UK businesses using AI,United Kingdom,2025,self-reported control practice,broad control context,"does not measure review quality or effectiveness"
ACC-B015,system fit,task user and evaluation capability,"effects depend on fit",direction,evidence synthesis,ACC-BS003,review of experimental GenAI studies,International,to 2025,synthesis of causal studies,conceptual transfer,"not accounting-specific; no single pooled accounting estimate"
ACC-B016,audit and high-stakes accounting,control framework,"design certification education governance and human review",four mitigation categories,D,ACC-BS004,UK audit firms and responsible individuals,United Kingdom,2026,normative guidance,direct control relevance,"not benefit or prevalence evidence"
ACC-B017,accounting cycle,workflow coverage,"initiation recording processing reporting",four stages,D,ACC-BS005,accounting and finance practitioners,United Kingdom,2025,practitioner workflow map,direct workflow relevance,"no comparative outcome design"
