source_id,priority,publisher,title,publication_date,direct_url,open_status,population_or_scope,evidence_role,main_limit,status
ACC-C001,P0,Journal of Accounting Research,"Human + AI in Accounting: Early Evidence from the Field",2026-04-16,https://onlinelibrary.wiley.com/doi/10.1111/1475-679x.70052,Open access,"277 accountants; 79 US private SME clients; more than 200000 transactions","Accounting workflow outcome evidence and human-AI interaction","US partner-platform setting; selection and transfer limits",Included
ACC-C002,P0,Journal of Accounting and Public Policy,"Artificial intelligence in accounting: a comparative analysis of adoption in accounting and non-accounting firms",2026,https://doi.org/10.1016/j.jaccpubpol.2026.107433,Open access,"35 semi-structured interviews across accounting and non-accounting organisations","Technology-organisation-environment-individual adoption conditions","Qualitative and not micro-UK-specific; supports mechanisms rather than prevalence",Included
ACC-C003,P1,Journal of Global Information Management,"AI Adoption in Accounting",2026,https://doi.org/10.4018/JGIM.404639,Open access,"Cross-sectional survey of 238 French accounting professionals","Compatibility infrastructure financial readiness trust vendor support and perceived cost","Adoption intention rather than realised benefit; France not UK",Included
ACC-C004,P1,Applied Sciences,"Artificial Intelligence Adoption in SMEs: Survey Based on TOE-DOI Framework Primary Methodology and Challenges",2025-06-09,https://doi.org/10.3390/app15126465,Open access,"Structured conceptual analysis with empirical case insights","Six-phase SME roadmap and implementation barriers","Roadmap is conceptual and not field-validated",Included
ACC-C005,P1,Information,"Artificial Intelligence in SMEs: Enhancing Business Functions Through Technologies and Applications",2025,https://www.mdpi.com/2078-2489/16/5/415,Open access,"Systematic review of 50 representative studies","Capabilities infrastructure applications and value-optimisation conditions","Cross-sector and heterogeneous; no accounting effect estimate",Included
ACC-C006,P0,Department for Science Innovation and Technology,AI Adoption Research,2026-01-28,https://www.gov.uk/government/publications/ai-adoption-research/ai-adoption-research,Open Government Licence,"3500 UK businesses with at least 5 employees; micro frame 5-9 employees","UK micro adoption barriers oversight and small-test context","Not accounting-specific; self-reported; excludes 1-4 employee firms",Included
ACC-C007,P0,Department for Business and Trade,Business population estimates for the UK and regions 2025,2025,https://www.gov.uk/government/statistics/business-population-estimates-2025/business-population-estimates-for-the-uk-and-regions-2025-statistical-release,Open Government Licence,"UK private-sector business population","Official 1-9 employee micro-employer definition and context","Not accounting-specific and not adoption evidence",Included
ACC-C008,P0,Financial Reporting Council,Generative and Agentic AI Guidance,2026-03-27,https://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/guidance/ai-in-audit/,Free to read,"UK audit firms and responsible individuals","System design testing staff education governance and human-review controls","Audit-specific guidance; not benefit evidence",Included
ACC-C009,P0,Information Commissioner's Office,AI and data protection risk toolkit,Current,https://ico.org.uk/for-organisations/uk-gdpr-guidance-and-resources/artificial-intelligence/guidance-on-ai-and-data-protection/ai-and-data-protection-risk-toolkit/,Open Government Licence,"UK organisations deploying AI systems","Accountability lawfulness transparency security data minimisation and rights controls","Guidance is under review following the Data (Use and Access) Act",Included
ACC-C010,P0,National Cyber Security Centre,Guidelines for secure AI system development,2023-11-27,https://www.ncsc.gov.uk/collection/guidelines-secure-ai-system-development/,Open Government Licence,"AI providers and organisations building on hosted models or APIs","Secure design development deployment operation logging monitoring and update management","Security guidance rather than accounting or benefit evidence",Included
ACC-C011,P1,National Institute of Standards and Technology,NIST AI Risk Management Framework Playbook,2023,https://airc.nist.gov/airmf-resources/playbook/,Open access,"Voluntary cross-sector AI risk-management actions","Govern Map Measure Manage structure tailored to the case gates","Not a checklist; AI RMF 1.0 is being updated",Included
ACC-C012,P1,Institute of Chartered Accountants in England and Wales,How GenAI can save you time during the accounting cycle,2025-11-04,https://www.icaew.com/insights/viewpoints-on-the-news/2025/nov-2025/how-genai-can-save-you-time-during-the-accounting-cycle,Free to read,"Accounting and finance practitioners","Accounting-cycle workflow mapping","Practitioner illustration without comparative outcome design",Included
