evidence_id,case_id,lifecycle_stage,finding,outcome_value,outcome_type,evidence_grade,source_ids,transfer_boundary
AJ-E01,integrated_bookkeeping,starting_problem,"Manual transaction collection, categorisation, review and reporting created a multi-stage bookkeeping workflow suitable for bounded AI support.",,mechanism,B,AJ01,"Anonymised US partner platform; mechanism may transfer but prevalence does not"
AJ-E02,integrated_bookkeeping,implementation,"The platform integrated with standard accounting software and placed confidence cues, approval queues and accountant review inside the workflow.",,mechanism,B,AJ01,"Platform-specific implementation"
AJ-E03,integrated_bookkeeping,outcome,"AI-assisted accountants achieved a 17.5 percentage-point improvement in transaction-classification accuracy in the framed experiment.","+17.5 percentage points classification accuracy",experimental,A,AJ01,"Narrow 99-accountant and 43-transaction experiment; not an end-to-end firm outcome"
AJ-E04,integrated_bookkeeping,outcome,"AI adoption was associated with more detailed ledgers and earlier monthly reporting in the operational sample.","approximately 12% more ledger granularity; approximately 7.5 days earlier reporting",associated,B,AJ01,"79 US private SME clients; adoption endogenous; association is not causation"
AJ-E05,integrated_bookkeeping,setback,"Incorrect model suggestions could propagate when accountants relied on them without sufficient scrutiny.",,observed_risk,A,AJ01,"Experimental task-specific risk"
AJ-E06,integrated_bookkeeping,work_change,"Effort shifted from routine bookkeeping toward quality assurance, advisory work and client communication.",,associated,B,AJ01,"Operational association and participant evidence; not a quantified UK workforce forecast"
AJ-E07,lya,objective,"The practice sought to reduce administrative work while adding workplace AI gradually.",,reported_journey,E,AJ02,"Named UK practice; practitioner account"
AJ-E08,lya,selection,"Existing Microsoft and Google arrangements influenced selection; Gemini was used for sensitive-data applications while ChatGPT was used for brainstorming.",,reported_journey,E,AJ02,"Firm-specific selection rationale; not a vendor recommendation"
AJ-E09,lya,implementation,"An external developer built a Gemini-enabled scanned-mail portal; Veryfi linked receipt processing to Xero; Syft supported management-account work.",,reported_journey,E,AJ02,"Named tools and tasks; implementation detail is incomplete"
AJ-E10,lya,outcome,"A manager estimated that the scanned-mail workflow saved 10 to 15 hours each week.","10–15 hours per week",self_reported,E,AJ02,"Management estimate; baseline, measurement period and independent validation not reported"
AJ-E11,lya,setback,"Receipt-processing capability was not yet being used to its full potential, and the practice restricted AI to factual or sense-checkable tasks because outputs can be wrong.",,self_reported,E,AJ02,"Constraint and control reported by the practice"
AJ-E12,audit_pattern,preparation,"Adoption commonly depended on organisational readiness, communication, internal linking roles, regulatory conditions and client acceptance.",,qualitative_pattern,C,"AJ03; AJ04; AJ05","Multiple qualitative studies; not one firm journey"
AJ-E13,audit_pattern,implementation,"Large-firm adoption was often centralised and combined internally developed and external tools; training and scaling were persistent implementation challenges.",,qualitative_pattern,B/C,"AJ04; AJ06","Large audit-firm evidence; implementation mechanism only for SMEs"
AJ-E14,audit_pattern,setback,"Explainability, bias, privacy, robustness, reliability, overreliance and limited guidance constrained movement from simple to more complex AI.",,qualitative_pattern,C,"AJ07; AJ09","Audit setting and regulatory guidance"
AJ-E15,audit_pattern,outcome,"Higher AI-worker share was associated with lower restatements and later lower fees, alongside fewer accounting employees after several years.",,associated,B,AJ06,"Large US audit firms; no causal or SME transfer claim"
AJ-E16,alfa_beta,starting_problem,"An earlier internal digital initiative stalled and client readiness was weaker than expected.",,comparator_only,X/E,AJ10,"Historical non-AI comparator"
AJ-E17,alfa_beta,adaptation,"The practice created a separate younger team, selected software around a fictional practice and began with interested clients before scaling onboarding.",,comparator_only,X/E,AJ10,"Historical non-AI comparator; large Dutch firm"
AJ-E18,alfa_beta,work_change,"The service model moved toward regular insight and client contact, while recruitment placed more emphasis on IT and people skills.",,comparator_only,X/E,AJ10,"Historical non-AI comparator; self-reported"
AJ-E19,hudson,implementation,"A UK practice added tools incrementally as it grew from a solo firm to eight staff, rather than attempting one large transformation.",,comparator_only,X/E,AJ11,"Historical non-AI comparator"
AJ-E20,hudson,setback,"Some tools did not produce sufficient value for smaller clients, showing that workflow volume and client fit changed the economics.",,comparator_only,X/E,AJ11,"Historical self-reported comparator; no current AI inference"
AJ-E21,hudson,work_change,"Automation accompanied a move toward fixed-fee bookkeeping, monthly information, management accounts and advisory services.",,comparator_only,X/E,AJ11,"Historical non-AI association; not a causal AI claim"
AJ-E22,transfer_cases,preparation,"Finance-function cases repeatedly began with process standardisation, a bounded proof of concept and explicit test criteria.",,transfer_mechanism,E,"AJ12; AJ13; AJ14","Provider-authored non-practice cases; mechanics only"
AJ-E23,transfer_cases,adaptation,"Confidence thresholds, human review and model refresh were used when formats or outputs failed.",,transfer_mechanism,E,AJ12,"Unnamed provider-authored finance-function case"
