step_id,pathway,phase,sequence,action,owner,evidence_output,proceed_condition,stop_or_revise_condition,evidence_basis,scenario_status
COMMON-01,All,Govern,1,"Name accountable owner, qualified reviewer and operational lead",Owner-director,Signed responsibility record,"Each approval and rollback decision has a named owner","Responsibility is implicit or unavailable",FRC; NIST,Reusable control
COMMON-02,All,Map,2,"Map one workflow from trigger to final sign-off",Operational lead,Workflow map,"Inputs, hand-offs, exceptions, outputs and judgement points are visible","Scope remains 'use AI' rather than a defined workflow",NIST; ICAEW,Reusable control
COMMON-03,All,Measure,3,"Collect a four-week workflow baseline",Operational lead,Baseline dataset,"Volume, time, review, corrections, exceptions and incidents have denominators","No stable comparator exists",NIST; DSIT,Illustrative four-week design choice
COMMON-04,All,Govern,4,"Classify personal, payroll, tax, bank and client-confidential data",Data owner,Data classification,"Permitted data and environments are approved","Sensitive data would enter an unapproved environment",ICO; NCSC,Reusable control
COMMON-05,All,Map,5,"Choose Use, Integrate, Automate, Configure or no adoption",Owner-director,Pathway decision,"Task-system fit and consequence justify the choice","Pathway is selected because a vendor offers it",TOE research; NIST,Reusable decision
COMMON-06,All,Measure,6,"Pre-register measures, cost boundary and stop rules",Owner-director,Pilot protocol,"Quality, benefit, risk and cost rules are written before results","Thresholds are chosen after seeing pilot results",NIST; SME roadmap research,Reusable control
USE-01,Use,Select,1,"Approve one enterprise-grade standalone assistant",Owner-director,Tool approval,"Terms, retention, access and training use are acceptable","Only uncontrolled consumer access is available",ICO; NCSC,Reusable action
USE-02,Use,Design,2,"Document prohibited data and permitted task types",Data owner,Use policy,"Users can distinguish permitted and prohibited inputs","Client data rules are ambiguous",ICO; FRC,Reusable action
USE-03,Use,Design,3,"Create bounded prompt templates with sources and caveats",Qualified reviewer,Approved prompt set,"Output format and source requirements are explicit","Prompt permits professional conclusions without evidence",FRC; NIST,Reusable action
USE-04,Use,Test,4,"Prepare 20 known tasks and edge cases",Qualified reviewer,Known-case set,"Reference answers and scoring are available","No accepted comparator exists",NIST; Human+AI study,Illustrative test size
USE-05,Use,Test,5,"Run known tasks with two users and no identifiable client data",Operational lead,Test outputs,"Testing represents intended users and task","Test uses uncontrolled live client records",NIST; ICO,Illustrative user count
USE-06,Use,Measure,6,"Score support, missing caveats, confidentiality and correction time",Qualified reviewer,Scored test report,"Required quality and refusal behaviour pass","Unsupported output or material omission fails the rule",FRC; NIST,Reusable action
USE-07,Use,Pilot,7,"Permit limited live use for approved internal tasks",Owner-director,Pilot log,"Named users follow source-check and approval rules","Outputs leave the firm without qualified review",DSIT oversight; FRC,Reusable action
USE-08,Use,Review,8,"Review corrections, usage and incidents after four weeks",Owner-director,Scale revise or stop decision,"Benefit remains after review and correction effort","Risk or total effort exceeds the accepted boundary",NIST; DSIT,Illustrative review period
INT-01,Integrate,Select,1,"Select one measured ledger or close bottleneck",Owner-director,Problem statement,"Outcome is measurable and workflow-specific","Objective is a generic AI implementation",Human+AI study; ICAEW,Reusable action
INT-02,Integrate,Assure,2,"Review supplier data flows, retention, access, logs, export and exit",Data owner,Supplier assurance record,"Material supplier questions are resolved","Data route, logging or exit remains unacceptable",ICO; NCSC,Reusable action
INT-03,Integrate,Test,3,"Construct historical known cases including unusual items",Qualified reviewer,Known-case dataset,"Cases cover routine and failure-prone work","Only easy demonstrations are tested",FRC; Human+AI study,Reusable action
INT-04,Integrate,Test,4,"Compare suggestions, confidence, exceptions and review time",Qualified reviewer,Test comparison,"Quality and exception behaviour meet the pre-registered rule","Material error or unexplained result occurs",Human+AI study; FRC,Reusable action
INT-05,Integrate,Shadow,5,"Run two close cycles without relying on AI output",Operational lead,Shadow comparison,"Every disagreement is reviewed and logged","Output cannot be reconstructed or overridden",NIST; NCSC,Illustrative two-cycle design
INT-06,Integrate,Pilot,6,"Pilot with 10 low-complexity illustrative clients",Owner-director,Pilot scope and consent decision,"Client segment and reviewer capacity are appropriate","Client complexity or risk exceeds pilot boundary",Scenario design,Illustrative pilot size
INT-07,Integrate,Control,7,"Route low-confidence, unusual and high-value items to reviewer",Qualified reviewer,Exception queue,"Thresholds capture known failure cases","Exceptions bypass review",Human+AI study; FRC,Reusable action
INT-08,Integrate,Control,8,"Prohibit automatic material postings and retain overrides",Qualified reviewer,Decision log,"Original, suggestion, reviewer and reason are retained","Material posting can occur without approval",FRC,Reusable control
INT-09,Integrate,Review,9,"Compare total effort, quality and full cost after two live cycles",Owner-director,Scale revise or stop decision,"Measured benefit exceeds full cost with quality maintained","Benefit disappears after correction/review or controls fail",Human+AI study; NIST,Illustrative review design
AUTO-01,Automate,Map,1,"Draw trigger-data-decision-action-review-log flow",Operational lead,System map,"Every permitted action and reviewer is visible","Autonomous scope is ambiguous",NIST; NCSC,Reusable action
AUTO-02,Automate,Design,2,"Use deterministic rules where rules are sufficient",Operational lead,Rule and AI split,"AI is limited to genuinely uncertain steps","AI is added to a stable deterministic rule without need",NIST,Reusable action
AUTO-03,Automate,Control,3,"Make first release read-only or draft-only",Owner-director,Permission configuration,"No external message or ledger action can occur","Tool can act beyond the approved boundary",FRC; NCSC,Reusable control
