source_id,priority,publisher,title,publication_date,fieldwork_or_reference_period,direct_url,format,open_status,target_population,evidence_role,five_dimensions,main_limit,status
ACC-S001,P0,Department for Science Innovation and Technology,UK Business Data Survey 2026,2026-06-18,2025-10 to 2026-01,https://www.gov.uk/government/statistics/uk-business-data-survey-2026,"HTML, ODS",Open Government Licence,"UK businesses; published sector tables include SIC M","Official broad-sector contextual proxy","adoption; integration; governance; use cases; pathways","Does not isolate accounting or publish sector-by-size estimates",Feasibility reviewed
ACC-S002,P0,Office for National Statistics,"Artificial intelligence in UK businesses: 2023 to 2026",2026-07-20,"BICS Wave 159 and earlier waves",https://www.ons.gov.uk/businessindustryandtrade/business/businessservices/articles/artificialintelligenceinukbusinesses/2023to2026,"HTML, XLSX",Open under ONS terms,"UK businesses; coverage varies by measure and some headlines exclude businesses below 10 employees","Most timely official trend and operational-depth context","adoption; integration; use cases; pathways; skills and barriers","Industry group is broader than accounting and coverage varies by question",Feasibility reviewed
ACC-S003,P0,Department for Science Innovation and Technology,AI Adoption Research,2026-01-28,2025-02 to 2025-05,https://www.gov.uk/government/publications/ai-adoption-research,"HTML, PDF, ODS",Open Government Licence,"3500 UK private businesses with at least 5 employees","Official adoption-stage and readiness context","adoption; integration; governance; use cases; pathways","Excludes businesses with fewer than 5 employees and groups accounting within Business Services/Administration",Feasibility reviewed
ACC-S004,P0,Office for National Statistics,"UK business: activity size and location 2025",2025-09-24,Snapshot at 2025-03-14,https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/datasets/ukbusinessactivitysizeandlocation,XLSX,Open Government Licence v3.0,"VAT and/or PAYE registered UK enterprises","Accounting population denominator by SIC 69.20 and employment size","sector frame","Registered enterprises only; contains no AI-use measures; counts control-rounded to base 5",Extracted and validated
ACC-S005,P1,Companies House,Free company data product,Current monthly snapshot,Current snapshot,https://www.gov.uk/guidance/companies-house-data-products,"CSV, ZIP",Open under Companies House terms,"Live companies on the Companies House register","Incorporated accounting-practice population and possible sampling frame","sector frame","Excludes unincorporated practices; SIC and accounts categories are not employee-size measures",Feasibility reviewed
ACC-S006,P1,"Sage, Demos and ACCA","Going for Growth: Creating an AI-first future in accounting",2024-07,2024-04-03 to 2024-04-08,https://www.sage.com/en-gb/-/media/files/sagedotcom/uk/documents/pdf/press-release-attachments/going-for-growth-report-2024.pdf,PDF,Free to read,"1126 UK accounting and bookkeeping practice decision-makers","Direct accounting-sector adoption and technology evidence","adoption; governance; use cases; pathways; skills","Commercially sponsored; includes large practices; raw data and full questionnaire not located",Methods and key charts verified
ACC-S007,P1,"AccountingWEB and Sage","State of the nation: AI in accountancy and bookkeeping",2026-02-18,2026 publication; exact fieldwork dates not published,https://www.accountingweb.co.uk/resources/state-of-the-nation-ai-in-accountancy-and-bookkeeping,"HTML, gated report",Free registration may be required,"More than 600 AccountingWEB members in practice and business","Timely direct accounting evidence on tools tasks integration preferences and barriers","adoption; integration; governance; use cases","Self-selected audience; mixes practice and business respondents; exact fieldwork bases and weighting are not fully published",Profiled and used directionally
ACC-S008,P2,Financial Reporting Council,AI in Audit guidance,2026-03,Current guidance,https://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/guidance/ai-in-audit/,HTML,Free to read,"UK audit and assurance practitioners","Normative governance and audit-use-case framework","governance; use cases","Guidance is not prevalence evidence and audit is narrower than accounting",Profiled; normative context only
ACC-S009,P2,Institute of Chartered Accountants in England and Wales,"AI and accountants: rules and guidance",2026-05,Current guidance,https://www.icaew.com/technical/practice-resources/practice-news/ai-and-accountants,HTML,Free to read,"Accountants and practices","Normative confidentiality judgement and responsible-use context","governance","Not prevalence evidence; commercial authorship must be disclosed",Profiled; normative context only
ACC-S010,P2,Thomson Reuters,"The real AI story in tax and audit isn't adoption—it's impact",2026,Global 2026 benchmark,https://www.thomsonreuters.com/en-us/posts/innovation/the-real-ai-story-in-tax-and-audit-isnt-adoption-its-impact/,HTML,Free to read,"Global tax and audit professionals or firms as defined by the source","International directional context only","adoption; use cases; impact","Not UK-specific or SME-specific and not suitable for the core prevalence estimate",Profile required
