source_id,priority,publisher,title,publication_date,reference_period,direct_url,evidence_role,target_population,main_limit,status
CNS-S001,P0,Department for Science Innovation and Technology,UK Business Data Survey 2026,2026-06-18,2025-10 to 2026-01,https://www.gov.uk/government/statistics/uk-business-data-survey-2026,"Direct SIC F adoption integration governance and use-case context","UK businesses; sector tables include construction SIC F","No sector-by-size estimates; conditional bases are modest",Used
CNS-S002,P0,Office for National Statistics,"UK business: activity size and location 2025",2025-09-24,Snapshot at 2025-03-14,https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/datasets/ukbusinessactivitysizeandlocation,"Direct registered-enterprise population frame","VAT/PAYE-registered UK enterprises in SIC F","Contains no AI measure; counts are control-rounded",Used
CNS-S003,P0,Department for Science Innovation and Technology,"What works for AI upskilling in the UK: research evidence analysis and methodology",2026-06,Current synthesis,https://www.gov.uk/government/publications/skills-for-ai-what-works-for-ai-upskilling-in-the-uk/research-evidence-analysis-and-methodology-what-works-for-ai-upskilling-in-the-uk,"Construction workflow skills and implementation context","UK construction employers and workforce evidence synthesis","Synthesis and recommendations; not prevalence or effect evidence",Used
CNS-S004,P1,Royal Institution of Chartered Surveyors,Artificial intelligence in construction report 2025,2025,Q1 2025,https://www.rics.org/news-insights/artificial-intelligence-in-construction-report,"Direct professional survey on adoption preparedness barriers and perceived use cases","More than 2200 global construction professionals; 48% UK","Global not UK-only; not SME-only; sentiment-based",Used
CNS-S005,P1,Department for Business and Trade,Understanding technology adoption among UK SMEs,2025-07-31,2024-2025,https://www.gov.uk/government/publications/understanding-technology-adoption-among-uk-smes,"Official SME adoption-journey and digital-foundation context","2000 online and 1001 telephone UK SME survey completes plus qualitative interviews","Mostly cross-sector; digital technology is broader than AI",Used
CNS-S006,P1,Department for Science Innovation and Technology,AI Adoption Research,2026-01-28,2025-02 to 2025-05,https://www.gov.uk/government/publications/ai-adoption-research,"Official broad-business impact and barrier context","3500 UK private businesses with at least 5 employees","Construction-specific effects not published",Used as context
CNS-S007,P1,Royal Institution of Chartered Surveyors,Responsible use of artificial intelligence in surveying practice,2025-11-17,Effective 2026-03-09,https://www.rics.org/profession-standards/rics-standards-and-guidance/conduct-competence/responsible-use-of-ai,"Normative system data assurance and client-communication controls","RICS members and RICS-regulated firms","Applies to surveying practice not all construction SMEs",Used for transfer controls
CNS-S008,P1,Department for Science Innovation and Technology,What Works for AI Upskilling in the UK - Supporting Case Studies,2026-06,Case interviews,https://assets.publishing.service.gov.uk/media/6a26e9cc2cdcfdb7436ac0e6/supporting_case_studies.pdf,"Named UK construction-SME implementation journey","Cast Consultancy; around 90 employees","Qualitative self-reported capability outcomes; not performance evaluation",Used
CNS-S009,P1,CIPD and Institute for the Future of Work,A construction company's journey towards using AI with purpose,2026,BridgeAI action research,https://www.cipd.org/uk/knowledge/case-studies/construction-company-ai/,"UK implementation and setback case","Anonymised large UK housebuilder employing several thousand people","Not an SME; one departmental time estimate is self-reported",Used as transfer case
CNS-S010,P2,Royal Institution of Chartered Surveyors,Digitalisation in construction report 2024,2024,2024 survey,https://www.rics.org/news-insights/digitalisation-in-construction-report,"Digital-foundation context","Global construction professionals with UK reporting","Digitalisation is broader than AI",Context
CNS-S011,P2,National Cyber Security Centre,Joint ventures in the Construction Sector Information Security Best Practice Guidance,2022-08-23,Current guidance,https://www.ncsc.gov.uk/news/joint-ventures-construction-guidance,"Construction information-security controls","Construction joint ventures and firms of all sizes","Not AI-specific and major-project oriented",Used for transfer controls
CNS-S012,P2,Taylor and Francis / International Journal of Construction Management,A generative AI model for automating construction bid preparation,2026,Two case organisations plus sample RFP test,https://www.tandfonline.com/doi/abs/10.1080/15623599.2026.2629023,"Narrow research prototype for tender requirement extraction and retrieval","Two case organisations; geography and SME transfer not established in the accessible record","Prototype performance is not a firm outcome or UK SME benchmark",Used as transfer evidence
CNS-S013,P2,Building Safety Regulator,Building control approval for higher-risk buildings,2025-03-31,Updated 2026-04-01,https://www.gov.uk/guidance/building-control-approval-for-higher-risk-buildings,"Regulatory context for the Cast Gateway 2 case","Higher-risk building work in England","Does not validate an AI tool or outcome",Context
