source_id,indicator_id,dimension,population_label,denominator_label,evidence_role,estimate,unit,lower_ci,upper_ci,unweighted_base,fieldwork_or_reference_period,source_locator,limitation
ACC-S004,registered_enterprises_0_4,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 0-4 employees,direct_frame,31295,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_enterprises_5_9,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 5-9 employees,direct_frame,4995,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_enterprises_10_19,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 10-19 employees,direct_frame,2190,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_enterprises_20_49,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 20-49 employees,direct_frame,945,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_enterprises_50_99,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 50-99 employees,direct_frame,295,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_enterprises_100_249,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 100-249 employees,direct_frame,140,count,,,,2025-03-14,ONS Table 4,Control-rounded to base 5; excludes unregistered enterprises
ACC-S004,registered_accounting_smes,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 0-249 employees,direct_frame,39860,count,,,,2025-03-14,Derived from ONS Table 4,Sum of published employment bands; excludes unregistered enterprises
ACC-S004,registered_enterprises_250_plus,sector_frame,UK VAT/PAYE enterprises in SIC 69.20,Registered enterprises with 250+ employees,direct_frame,115,count,,,,2025-03-14,ONS Table 4,Separate large-enterprise benchmark
ACC-S006,adopted_ai,adoption,UK accounting and bookkeeping practice decision-makers,Survey respondents whose practices had adopted AI,direct_directional,0.26,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 6,Includes large practices; raw data and full questionnaire unavailable
ACC-S006,piloting_or_adopted_ai,adoption,UK accounting and bookkeeping practice decision-makers,Survey respondents whose practices were piloting or had adopted AI,direct_directional,0.54,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 6,Includes large practices; not directly comparable with other adoption definitions
ACC-S006,not_piloting_or_using_ai,adoption,UK accounting and bookkeeping practice decision-makers,Survey respondents whose practices were not piloting or using AI,direct_directional,0.46,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 6,Includes large practices
ACC-S006,client_communication_chatbots,use_cases,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting the listed technology,direct_directional,0.51,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 8,Multiple response; question-specific base not separately published
ACC-S006,repetitive_task_automation,use_cases,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting the listed technology,direct_directional,0.34,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 8,Multiple response; question-specific base not separately published
ACC-S006,ai_insights_reporting,use_cases,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting the listed technology,direct_directional,0.32,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 8,Multiple response; question-specific base not separately published
ACC-S006,document_processing,use_cases,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting the listed technology,direct_directional,0.30,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 8,Multiple response; question-specific base not separately published
ACC-S006,forecasting_scenario_analysis,use_cases,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting the listed technology,direct_directional,0.29,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 8,Multiple response; question-specific base not separately published
ACC-S006,well_prepared_ai_skills,governance,UK accounting and bookkeeping practice decision-makers,Survey respondents reporting their practice was well prepared for AI skills,direct_directional,0.16,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 26,Includes large practices; perception measure
ACC-S006,skills_restrict_effective_use,governance,UK accounting and bookkeeping practice decision-makers,Survey respondents concerned that skills restrict effective AI use,direct_directional,0.63,proportion,,,1126,2024-04-03 to 2024-04-08,Going for Growth PDF page 26,Includes large practices; concern not verified capability
ACC-S007,external_non_embedded_tools,integration,AccountingWEB members in practice and business,Survey respondents reporting external non-embedded AI tool use,direct_directional,0.7138,proportion,,,600+,2026,AccountingWEB State of the Nation,Self-selected; mixed practice/business sample; exact base and weighting unavailable
ACC-S007,believe_ai_embedded_core_software,integration,AccountingWEB members in practice and business,Survey respondents believing AI is embedded in core software,direct_directional,0.6618,proportion,,,600+,2026,AccountingWEB State of the Nation,Perceived embedding is not verified active use
ACC-S007,tax_legislation_research,use_cases,AccountingWEB members in practice and business,External-tool users reporting the listed task,direct_directional,0.5945,proportion,,,600+,2026,AccountingWEB follow-up analysis,Self-selected; multiple response; conditional denominator
ACC-S007,drafting_emails,use_cases,AccountingWEB members in practice and business,External-tool users reporting the listed task,direct_directional,0.5877,proportion,,,600+,2026,AccountingWEB follow-up analysis,Self-selected; multiple response; conditional denominator
ACC-S007,summarising_financial_data,use_cases,AccountingWEB members in practice and business,External-tool users reporting the listed task,direct_directional,0.5376,proportion,,,600+,2026,AccountingWEB follow-up analysis,Self-selected; multiple response; conditional denominator
ACC-S007,natural_integration_priority,integration,AccountingWEB members in practice and business,Survey respondents prioritising natural integration,direct_directional,0.3756,proportion,,,600+,2026,AccountingWEB follow-up analysis,Preference not current implementation
ACC-S007,data_security_obstacle,governance,AccountingWEB members in practice and business,Survey respondents anticipating data security as an obstacle,direct_directional,0.6195,proportion,,,600+,2026,AccountingWEB follow-up analysis,Anticipated obstacle; self-selected sample
ACC-S007,lack_skilled_personnel_obstacle,governance,AccountingWEB members in practice and business,Survey respondents anticipating lack of skilled personnel as an obstacle,direct_directional,0.4813,proportion,,,600+,2026,AccountingWEB follow-up analysis,Anticipated obstacle; self-selected sample
ACC-S007,strategic_adopters,adoption,AccountingWEB members in practice and business,Respondents classified by the source as strategic adopters,direct_directional,0.4455,proportion,,,600+,2026,AccountingWEB follow-up analysis,Source-defined segment; not adoption prevalence
ACC-S007,cautious_observers,adoption,AccountingWEB members in practice and business,Respondents classified by the source as cautious observers,direct_directional,0.3187,proportion,,,600+,2026,AccountingWEB follow-up analysis,Source-defined segment; not adoption prevalence
ACC-S001,uses_any_listed_ai,adoption,UK businesses in SIC M,All responding businesses in the published SIC M category,contextual_proxy,0.50586,proportion,0.4402,0.5715,530,2025-10 to 2026-01,UKBDS Table 42,Broad sector; not accounting-specific or SME-only
ACC-S001,uses_ai_for_research,use_cases,UK businesses in SIC M,All responding businesses in the published SIC M category,contextual_proxy,0.3720,proportion,0.3085,0.4355,530,2025-10 to 2026-01,UKBDS Table 42,Multiple response; broad sector
ACC-S001,uses_ai_for_summarising_or_drafting,use_cases,UK businesses in SIC M,All responding businesses in the published SIC M category,contextual_proxy,0.2787,proportion,0.2198,0.3376,530,2025-10 to 2026-01,UKBDS Table 42,Multiple response; broad sector
ACC-S001,ai_tools_integrated_with_systems,integration,AI-using UK businesses in SIC M,Responding AI users in the published SIC M category,contextual_proxy,0.19897,proportion,0.1259,0.2721,280,2025-10 to 2026-01,UKBDS Table 48,Conditional AI-user denominator; broad sector
ACC-S001,has_ai_policy_or_guidance,governance,AI-using UK businesses in SIC M,Responding AI users in the published SIC M category,contextual_proxy,0.19893,proportion,0.1259,0.2720,280,2025-10 to 2026-01,UKBDS Table 50,Conditional AI-user denominator; broad sector
ACC-S001,uses_automated_decision_making,pathways,AI-using UK businesses in SIC M,Responding AI users in the published SIC M category,contextual_proxy,0.04079,proportion,0.00456,0.07702,280,2025-10 to 2026-01,UKBDS Table 43,Conditional AI-user denominator; broad sector
ACC-S001,uses_data_to_develop_or_train_ai,pathways,UK businesses in SIC M,All responding businesses in the published SIC M category,contextual_proxy,0.00977,proportion,0,0.02269,530,2025-10 to 2026-01,UKBDS Table 47,Broad sector; does not capture ready-made tools
