source_id,title,author_or_owner,year,source_type,evidence_grade,case_role,geography,firm_or_population,access_url,access_status,permitted_use,key_limit
AJ01,"Human + AI in Accounting: Early Evidence from the Field","Choi et al.; Journal of Accounting Research",2026,"Peer-reviewed field study and framed experiment",A/B,"Core: integrated AI bookkeeping platform","United States","Partner platform; 79 private SME clients; 99 accountants in experiment",https://onlinelibrary.wiley.com/doi/10.1111/1475-679x.70052,"Open article","Narrow experiment; operational associations; workflow and human-review mechanisms","Operational adoption is endogenous; platform and participating firms are anonymised; not a UK SME benchmark"
AJ02,"Three use cases for AI","ICAEW; Love Your Accountants",2025,"Named practitioner case",E,"Core: named UK practice journey","United Kingdom","Love Your Accountants accounting practice",https://www.icaew.com/insights/viewpoints-on-the-news/2025/dec-2025/three-use-cases-for-ai,"Open webpage","Named tools, selection logic, implementation sequence, controls and attributable time estimate","Outcome is management-estimated and not independently measured; some tools were not yet fully used"
AJ03,"Artificial intelligence adoption in accounting firms: an exploratory case study","Yang, Blount and Amrollahi; Australasian Conference on Information Systems",2021,"Peer-reviewed qualitative case",C,"Core context: Big Four implementation factors","Not specified in public abstract","Big Four accounting firm; interview and secondary evidence",https://aisel.aisnet.org/acis2021/26/,"Open repository record","Implementation drivers, organisational readiness, communication, regulation and client acceptance","Anonymised, qualitative and audit-focused; no SME effect estimate"
AJ04,"Artificial intelligence adoption in a professional service industry: A multiple case study","Technological Forecasting and Social Change",2024,"Peer-reviewed multiple case study",C,"Core context: firm-size implementation comparison","International / not treated as UK-specific","Three auditing firms of different sizes",https://www.sciencedirect.com/science/article/pii/S0040162524000477,"Open article landing page","Recurring adoption factors and differences by organisational size/readiness","Qualitative; audit setting; does not quantify benefits or prevalence"
AJ05,"AI adoption trajectories in accounting firms and accounting functions","Journal of Accounting and Public Policy",2026,"Peer-reviewed interview study",C,"Core context: organisational trajectory comparison","International / not treated as UK-specific","35 interview participants across accounting firms and accounting functions",https://www.sciencedirect.com/science/article/pii/S0278425426000323,"Open article landing page","Business-model, organisational-silo and trajectory mechanisms","Interview evidence; accounting functions are not accounting practices; no causal effect"
AJ06,"Is artificial intelligence improving the audit process?","Review of Accounting Studies",2023,"Peer-reviewed interviews and archival association",B/C,"Core context: rollout, training and longer-run audit associations","United States","Eight largest public accounting firms; 17 senior interviews plus archival measures",https://link.springer.com/article/10.1007/s11142-022-09697-x,"Open article","Centralised implementation, training/scaling barriers and longitudinal associations","Large audit firms; associations are not causation and are not transferable effect sizes for UK SMEs"
AJ07,"Artificial intelligence challenges for audit professionals","International Journal of Accounting Information Systems",2025,"Peer-reviewed interview study",C,"Core context: setbacks and controls","International / not treated as UK-specific","22 experienced audit professionals",https://www.sciencedirect.com/science/article/pii/S1467089525000107,"Open article landing page","Explainability, bias, privacy, robustness, reliability, overreliance and guidance gaps","Qualitative audit evidence; does not measure adoption outcomes"
AJ08,"Practice Assurance Monitoring Report 2025","ICAEW",2025,"Professional-body monitoring report",D,"UK control and adoption context","United Kingdom","ICAEW firm monitoring and 2024 AI discussions",https://www.icaew.com/-/media/corporate/files/regulations/practice-assurance/practice-assurance-monitoring-2025.ashx,"Open PDF","Aggregate reported use, risks, benefits and control practices","Discussion sample and question bases require care; not a named adoption journey or causal evaluation"
AJ09,"Generative and Agentic AI Guidance","Financial Reporting Council",2026,"Regulatory guidance",D,"Accountability and control context","United Kingdom","UK audit and assurance context",https://www.frc.org.uk/library/standards-codes-policy/audit-assurance-and-ethics/guidance/ai-in-audit/,"Open guidance","Human accountability and control expectations","Guidance only; not evidence of prevalence or outcome"
AJ10,"The Passionate Practitioner: Alfa Accountants and Beta case","ACCA",2018,"Professional-body historical case",X/E,"Historical digital change comparator","Netherlands","Alfa Accountants; 950 employees and 14000 customers; Beta start-up team",https://www.accaglobal.com/content/dam/ACCA_Global/professional-insights/passionate-practitioner/passionate-practitioner-full-report.pdf,"Open PDF","Stalled change, separate-team response, staged client onboarding and service-model redesign","Not AI; self-reported case; large non-UK practice"
AJ11,"Case study: automating my practice","ICAEW; Hudson Accountants",2019,"Named practitioner historical case",X/E,"Historical micro-practice automation comparator","United Kingdom","Hudson Accountants; solo practice growing to eight staff",https://www.icaew.com/technical/technology/webinars-and-publications/tech-essentials-guides/case-study-automating-my-practice,"Open webpage","Incremental tool adoption, uneven economics and role/service change in a small practice","Not AI; self-reported time comparisons; historic software environment"
AJ12,"Hands off the task, eyes on the outcome","Deloitte",2024,"Provider-authored client case",E,"Transfer case: accounts payable",International,"Unnamed client finance function",https://www.deloitte.com/us/en/what-we-do/case-studies/hands-off-the-task-eyes-on-the-outcome.html,"Open webpage","Standardise before AI, confidence scoring, human review and iterative refresh","Not an accounting practice; client unnamed; outcomes provider-authored and not independently validated"
AJ13,"DAC Beachcroft AI tax automation","KPMG UK",2025,"Provider-authored client case",E,"Transfer case: tax function","United Kingdom","DAC Beachcroft tax function",https://kpmg.com/uk/en/insights/tax/dac-beachcroft-ai-tax-automation.html,"Open webpage","Pilot, accuracy check, rapid classification and continuing iteration","Law-firm tax function, not accounting practice; provider-authored; reported outcomes not independently validated"
AJ14,"Tax operations using generative AI: Mitsubishi Corporation proof of concept","PwC Japan",2024,"Provider-authored proof of concept",E,"Transfer case: corporate tax function","Japan","Mitsubishi Corporation tax function",https://www.pwc.com/jp/en/knowledge/column/tax-generative-ai.html,"Open webpage","Time-bounded proof of concept, extraction testing and staged expansion","Corporate accounting function, not accounting practice; provider-authored PoC, not scaled outcome"
